c_Cod;d_Inizio;d_Fine;v_Descrizione;b_Bacino;c_CodiceRegione;c_CodAslTerritoriale;c_Provincia;c_ComuneFiscale;c_Regione
001033;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;BOSCONERO;NULL;010;109;TO;B075 ;150
001033;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;BOSCONERO;NULL;010;204;TO;B075 ;150
001034;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;BRANDIZZO;NULL;010;107;TO;B121 ;150
001034;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;BRANDIZZO;NULL;010;204;TO;B121 ;150
001035;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;BRICHERASIO;NULL;010;110;TO;B171 ;150
001035;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;BRICHERASIO;NULL;010;203;TO;B171 ;150
001036;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;BROSSO;NULL;010;109;TO;B205 ;150
001036;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;BROSSO;NULL;010;204;TO;B205 ;150
001037;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;BROZOLO;NULL;010;107;TO;B209 ;150
001037;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;BROZOLO;NULL;010;204;TO;B209 ;150
001038;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;BRUINO;NULL;010;105;TO;B216 ;150
001038;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;BRUINO;NULL;010;203;TO;B216 ;150
001039;1958-01-01 00:00:00.000;2007-12-31 00:00:00.000;BRUSASCO;NULL;010;107;TO;B225 ;150
001039;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;BRUSASCO;NULL;010;204;TO;B225 ;150
001040;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;BRUZOLO;NULL;010;105;TO;B232 ;150
001040;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;BRUZOLO;NULL;010;203;TO;B232 ;150
001041;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;BURIASCO;NULL;010;110;TO;B278 ;150
001041;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;BURIASCO;NULL;010;203;TO;B278 ;150
001042;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;BUROLO;NULL;010;109;TO;B279 ;150
001042;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;BUROLO;NULL;010;204;TO;B279 ;150
001043;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;BUSANO;NULL;010;109;TO;B284 ;150
001043;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;BUSANO;NULL;010;204;TO;B284 ;150
001044;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;BUSSOLENO;NULL;010;105;TO;B297 ;150
001044;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;BUSSOLENO;NULL;010;203;TO;B297 ;150
001045;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;BUTTIGLIERA ALTA;NULL;010;105;TO;B305 ;150
